pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,48,1,193,1,,,,,558.4694051999977,,558.4587169000006,558.4694051999977,559.4690820999967,559.4690820999967,559.4690820999967,559.4690820999967,559.4690820999967,560.4693120000011,560.4693120000011,561.3573351999948,v,1,0.8713291000021854,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,48,2,194,2,,,,,561.3697601000022,,561.3584361999965,561.3697601000022,562.3694137999992,562.3694137999992,562.3694137999992,562.3694137999992,562.3694137999992,563.3698962000053,563.3698962000053,564.1953431000002,c,1,0.8235489999933634,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,48,3,195,3,,,,,564.2189999999973,,564.1974053000013,564.2189999999973,565.2031510000088,565.2031510000088,565.2031510000088,565.2031510000088,565.2200058000017,566.2033215999982,566.2033215999982,566.758038800006,z,1,0.5402080000058049,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,49,0,196,0,,,,,566.7708631999994,,566.7591167000064,566.7708631999994,567.770290600005,567.770290600005,567.770290600005,567.770290600005,567.770290600005,568.7708711000014,568.7708711000014,569.5259234999976,x,1,0.74598409999453,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,49,1,197,1,,,,,569.5375719000003,,569.5270907000086,569.5375719000003,570.5375414000009,570.5375414000009,570.5375414000009,570.5375414000009,570.5375414000009,571.5379995999974,571.5379995999974,572.5106472000043,v,1,0.965391500008991,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,49,2,198,2,,,,,572.5215702999994,,572.5118487,572.5215702999994,573.5214549000084,573.5214549000084,573.5214549000084,573.5214549000084,573.5214549000084,574.522314700007,574.522314700007,575.544081400003,c,1,1.0195184000040172,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,49,3,199,3,,,,,575.5557515999972,,575.5452630000073,575.5557515999972,576.5557770000014,576.5557770000014,576.5557770000014,576.5557770000014,576.5557770000014,577.5558869000088,577.5558869000088,578.3110803000018,z,1,0.7441345000115689,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,,,,,0,0,0,0,578.3383160999947,,578.3213476999954,578.3383160999947,579.3386283,579.3386283,579.3386283,579.3386283,579.3578779999953,580.3228012000036,580.3228012000036,581.0620418000035,x,1,0.7350150999991456,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,,,,,0,1,1,0,581.0730541000084,,581.0638583999971,581.0730541000084,582.0734623000026,582.0734623000026,582.0734623000026,582.0734623000026,582.0734623000026,583.0735677000048,583.0735677000048,583.8452594999981,x,1,0.762728400004562,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,,,,,0,2,2,1,583.8570335999975,,583.8464600000007,583.8570335999975,584.8574407999986,584.8574407999986,584.8574407999986,584.8574407999986,584.8574407999986,585.8577666000056,585.8577666000056,586.8791725000046,v,1,1.0171047000039835,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,,,,,0,3,3,0,586.8908178999991,,586.8802683999966,586.8908178999991,587.8911208000063,587.8911208000063,587.8911208000063,587.8911208000063,587.8911208000063,588.8917046999995,588.8917046999995,589.8135406000074,x,1,0.9197497999994084,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,,,,,1,0,4,0,589.8247237000032,,589.8147778999992,589.8247237000032,590.8248012999975,590.8248012999975,590.8248012999975,590.8248012999975,590.8248012999975,591.8252278,591.8252278,592.5466605999973,x,1,0.7174721000046702,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
